epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.027266472578048706,
0,71,,,0.025852415710687637
0,71,0.1643969714641571,,
1,99,,0.021372778341174126,
1,143,,,0.008793340995907784
1,143,0.016735414043068886,,
2,149,,0.008450389839708805,
2,199,,0.002818056847900152,
2,215,,,0.002459839917719364
2,215,0.005022087600082159,,
3,249,,0.0011707949452102184,
3,287,,,0.0009050462394952774
3,287,0.0014820437645539641,,
4,299,,0.000849151867441833,
4,349,,0.000631049508228898,
4,359,,,0.0005360990180633962
4,359,0.0007160883978940547,,
5,399,,0.0004286081239115447,
5,431,,,0.0003521264297887683
5,431,0.0004559259978123009,,
6,449,,0.00026729496312327683,
6,499,,0.00042940827552229166,
6,503,,,0.0002459044917486608
6,503,0.0003122451016679406,,
7,549,,0.00018682568043004721,
7,575,,,0.00017820145876612514
7,575,0.00022232302580960095,,
8,599,,0.00011481191904749721,
8,647,,,0.00013811798999086022
8,647,0.00016597824287600815,,
9,649,,0.00020203759777359664,
9,699,,6.961915642023087e-05,
9,719,,,0.00011051051114918664
9,719,0.00013013830175623298,,
10,749,,0.00015864335000514984,
10,791,,,9.097607835428789e-05
10,791,0.00010471876157680526,,
11,799,,5.8381690905662253e-05,
11,849,,5.91735151829198e-05,
11,863,,,7.754074613330886e-05
11,863,8.645375055493787e-05,,
12,899,,7.315604307223111e-05,
12,935,,,6.36489421594888e-05
12,935,7.28381346561946e-05,,
13,949,,7.853064016671851e-05,
13,999,,5.0209764594910666e-05,
13,1007,,,5.510522532858886e-05
13,1007,6.138666503829882e-05,,
14,1049,,5.7639830629341304e-05,
14,1079,,,4.8046669689938426e-05
14,1079,5.348525883164257e-05,,
15,1099,,6.560803012689576e-05,
15,1149,,3.9533792005386204e-05,
15,1151,,,4.506371260504238e-05
15,1151,4.67109312012326e-05,,
16,1199,,2.5335164536954835e-05,
16,1223,,,3.7606889236485586e-05
16,1223,4.0955099393613636e-05,,
17,1249,,3.35572512994986e-05,
17,1295,,,3.429807838983834e-05
17,1295,3.632477091741748e-05,,
18,1299,,2.4339615265489556e-05,
18,1349,,3.129601100226864e-05,
18,1367,,,2.9887702112318948e-05
18,1367,3.234785981476307e-05,,
19,1399,,2.1742607714259066e-05,
19,1439,,,2.669161040103063e-05
19,1439,2.834289443853777e-05,,
