epoch,step,train_loss_epoch,train_loss_step,val_loss
0,49,,0.8354738354682922,
0,71,,,0.8264070749282837
0,71,0.9753045439720154,,
1,99,,0.7272670269012451,
1,143,,,0.5908186435699463
1,143,0.7033006548881531,,
2,149,,0.6133902668952942,
2,199,,0.4557461142539978,
2,215,,,0.4202032685279846
2,215,0.5028733611106873,,
3,249,,0.3719269037246704,
3,287,,,0.2983802855014801
3,287,0.3586665391921997,,
4,299,,0.2643616795539856,
4,349,,0.2598689794540405,
4,359,,,0.21358664333820343
4,359,0.2562926411628723,,
5,399,,0.1789236217737198,
5,431,,,0.15480515360832214
5,431,0.18490992486476898,,
6,449,,0.14385825395584106,
6,499,,0.10251102596521378,
6,503,,,0.11532611399888992
6,503,0.135768324136734,,
7,549,,0.09898868203163147,
7,575,,,0.0890263170003891
7,575,0.10266593843698502,,
8,599,,0.08712451905012131,
8,647,,,0.07187894731760025
8,647,0.08072082698345184,,
9,649,,0.08205476403236389,
9,699,,0.0634271427989006,
9,719,,,0.060756295919418335
9,719,0.06639030575752258,,
10,749,,0.05343296378850937,
10,791,,,0.05346791446208954
10,791,0.057030703872442245,,
11,799,,0.05119720846414566,
11,849,,0.05414897948503494,
11,863,,,0.048473019152879715
11,863,0.0507800318300724,,
12,899,,0.047629304230213165,
12,935,,,0.04480929672718048
12,935,0.04636671394109726,,
13,949,,0.04582459479570389,
13,999,,0.041447971016168594,
13,1007,,,0.04184297099709511
13,1007,0.04299911856651306,,
14,1049,,0.044784218072891235,
14,1079,,,0.03926192596554756
14,1079,0.04019761085510254,,
15,1099,,0.0413748063147068,
15,1149,,0.03807307034730911,
15,1151,,,0.036878928542137146
15,1151,0.03770243003964424,,
16,1199,,0.037195898592472076,
16,1223,,,0.03460092470049858
16,1223,0.035370003432035446,,
17,1249,,0.03325093537569046,
17,1295,,,0.03239751607179642
17,1295,0.033134207129478455,,
18,1299,,0.03444146364927292,
18,1349,,0.027922287583351135,
18,1367,,,0.03025333397090435
18,1367,0.030971623957157135,,
19,1399,,0.029932653531432152,
19,1439,,,0.028170371428132057
19,1439,0.028874391689896584,,
